,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size
839,acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) A515-56 Thin and Light Lap...,"₹52,130","₹54,999",4.3,"1,230 Ratings & 145 Reviews",8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
840,DELL Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10) 3515 Laptop,"₹51,990","₹66,560",4.3,3 Ratings & 0 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,AMD Ryzen 5 Quad Core Processor,Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
841,ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ502WS T...,"₹50,990","₹72,990",4.3,"1,606 Ratings & 164 Reviews",8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
842,ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X515EA-EJ502TS T...,"₹50,990","₹70,990",4.3,"1,606 Ratings & 164 Reviews",8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
843,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L322...,"₹47,990","₹62,990",4,15 Ratings & 2 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
844,acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) A515-56 Thin and Light Lap...,"₹49,990","₹64,999",4,44 Ratings & 4 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
845,ASUS VivoBook 14 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X415EA-EB572WS T...,"₹49,990","₹72,990",4.1,202 Ratings & 18 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display
846,acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) A515-56-56LN Thin and Ligh...,"₹49,990","₹69,999",4.4,70 Ratings & 5 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
847,DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Inspiron 3511 Thin and Lig...,"₹48,990","₹55,890",4,5 Ratings & 0 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
848,DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Lig...,"₹48,990","₹58,340",4.3,74 Ratings & 7 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
